121 139 184
0 62.3641 87.3098 71
232 115 228 119
221 126 215 132
217 145 250 112
267 110 219 158
222 170 283 109
285 107 285 107
299 108 228 179
189 218 187 220
182 225 176 231
176 246 199 223
201 221 201 221
226 196 317 105
332 105 219 218
205 232 179 258
176 276 214 238
219 233 343 109
353 114 184 283
194 288 361 121
367 130 206 291
208 304 373 139
377 150 212 315
218 324 380 162
380 177 224 333
232 340 265 307
292 280 380 192
381 206 304 283
272 315 240 347
241 347 272 316
305 283 381 207
381 222 315 288
285 318 250 353
259 359 301 317
341 277 379 239
378 255 353 280
311 322 268 365
277 371 328 320
330 318 339 309
362 286 377 271
375 288 370 293
348 315 285 378
294 384 363 315
372 306 372 306
330 363 303 390
312 396 327 381
