68 105 146
0 71.6096 136.233 109
81 41 81 41
87 47 86 48
79 55 57 77
56 90 100 46
102 44 104 42
112 46 54 104
53 117 129 41
136 34 136 34
144 38 54 128
55 139 151 43
161 45 58 148
61 157 170 48
172 46 173 45
184 46 64 166
66 176 188 54
194 60 108 146
92 162 76 178
112 154 203 63
213 65 112 166
107 171 106 172
111 179 221 69
231 71 213 89
188 114 112 190
112 202 182 132
220 94 238 76
246 80 219 107
221 117 254 84
262 88 214 136
202 160 269 93
277 97 198 176
200 186 285 101
298 100 203 195
204 196 299 101
306 106 203 209
202 222 316 108
321 115 202 234
200 248 330 118
337 123 335 125
332 128 216 244
219 253 226 246
228 244 341 131
343 141 247 237
234 250 231 253
226 270 232 264
274 222 348 148
356 152 272 236
238 270 214 294
211 297 210 298
208 312 216 304
274 246 359 161
362 170 276 256
220 312 212 320
215 329 228 316
279 265 361 183
370 174 370 174
365 191 283 273
232 324 217 339
218 350 239 329
285 283 366 202
365 215 284 296
280 300 279 301
250 330 220 360
221 371 308 284
312 292 214 390
220 396 316 300
320 308 229 399
241 399 322 318
325 327 253 399
265 399 326 338
327 349 277 399
289 399 330 358
332 368 301 399
313 399 336 376
341 383 325 399
337 399 346 390
350 398 349 399
