64 191 234
0 46.859 185.256 21
189 68 142 115
147 125 205 67
231 56 148 139
148 154 239 63
248 69 224 93
212 105 134 183
131 201 204 128
226 106 230 102
238 94 258 74
270 77 246 101
240 107 130 217
134 228 248 114
255 107 293 69
305 72 263 114
253 124 139 238
147 245 258 134
270 122 315 77
324 76 273 127
259 141 242 158
240 160 152 248
158 257 230 185
233 182 235 180
277 138 325 90
327 103 281 149
252 178 249 181
233 197 181 249
175 255 173 257
190 255 245 200
278 167 279 166
283 162 331 114
335 125 265 195
263 197 201 259
222 253 334 141
311 179 252 238
268 237 305 200
300 220 288 232
