12 22 33
0 85 162.273 222
528 457 528 457
537 463 531 469
523 492 524 491
526 489 528 487
535 480 543 472
549 481 539 491
532 498 518 512
514 531 514 531
518 527 542 503
544 501 555 490
559 501 515 545
518 557 563 512
570 520 517 573
421 684 434 671
441 664 448 657
481 624 481 624
512 593 575 530
579 541 514 606
494 626 492 628
487 633 480 640
463 657 462 658
455 665 436 684
451 684 466 669
472 663 474 661
478 657 501 634
503 632 510 625
512 623 585 550
592 558 480 670
477 673 466 684
481 684 599 566
599 581 496 684
511 684 599 596
599 611 526 684
541 684 599 626
599 641 556 684
571 684 599 656
599 671 586 684
