27 162 121
64.537 0 212.5 93
76 46 86 36
97 40 91 46
100 52 106 46
114 53 108 59
116 66 122 60
129 68 124 73
60 152 90 122
92 120 92 120
130 82 136 76
143 84 130 97
104 123 62 165
28 214 112 130
114 128 117 125
120 122 122 120
125 117 160 82
170 87 34 223
19 253 178 94
203 84 25 262
35 267 214 88
233 84 47 270
61 271 143 189
145 187 165 167
185 147 185 147
187 145 240 92
245 102 202 145
147 200 76 271
85 277 149 213
223 139 259 103
269 108 235 142
152 225 144 233
104 273 96 281
246 146 284 108
291 109 251 149
258 157 301 114
309 121 264 166
268 177 315 130
313 147 311 149
306 154 270 190
268 207 280 195
282 193 323 152
339 136 349 126
366 124 289 201
285 205 267 223
282 223 291 214
303 202 377 128
383 137 302 218
308 227 387 148
419 131 317 233
322 243 413 152
421 159 326 254
326 269 429 166
436 174 325 285
334 291 442 183
446 194 343 297
351 304 433 222
446 224 389 281
368 302 356 314
411 274 445 240
436 264 425 275
436 279 436 279
