59 200 240
0 42.5 192.313 15
1 61 16 46
76 1 65 12
31 46 1 76
1 91 43 49
66 26 91 1
106 1 64 43
54 53 1 106
1 121 121 1
136 1 1 136
1 151 151 1
166 1 1 166
1 181 181 1
196 1 1 196
1 211 211 1
210 17 93 134
91 136 1 226
1 241 60 182
62 180 65 177
71 171 94 148
103 139 209 33
256 1 239 18
208 49 159 98
154 103 119 138
115 142 114 143
87 170 85 172
68 189 1 256
1 271 76 196
126 146 131 141
170 102 207 65
222 50 266 6
267 20 185 102
145 142 130 157
70 217 1 286
1 301 78 224
133 169 133 169
136 166 149 153
197 105 260 42
298 4 298 4
301 16 277 40
254 63 209 108
145 172 144 173
83 234 1 316
1 331 81 251
85 247 90 242
219 113 253 79
264 68 302 30
300 47 228 119
90 257 4 343
15 347 96 266
237 125 295 67
293 84 243 134
106 271 42 335
40 337 39 338
57 335 117 275
250 142 342 50
352 47 253 146
121 278 64 335
53 361 54 360
63 351 125 289
259 155 363 51
359 70 266 163
139 290 59 370
58 386 150 294
268 176 341 103
321 138 270 189
158 301 77 382
97 377 171 303
269 205 270 204
272 202 348 126
353 121 384 90
376 113 274 215
272 217 270 219
177 312 123 366
133 371 209 295
282 222 374 130
396 123 275 244
270 249 269 250
220 299 149 370
155 379 223 311
276 258 418 116
407 142 280 269
278 271 276 273
226 323 161 388
168 396 232 332
272 292 282 282
284 280 420 144
430 149 340 239
331 248 276 303
240 339 181 398
196 398 248 346
270 324 346 248
375 219 420 174
437 172 401 208
361 248 211 398
226 398 375 249
427 197 454 170
392 247 241 398
256 398 408 246
424 245 395 274
391 278 271 398
286 398 402 282
410 274 433 251
442 257 438 261
429 270 423 276
412 287 403 296
389 310 301 398
316 398 371 343
376 338 396 318
416 298 421 293
434 280 438 276
444 285 442 287
429 300 425 304
402 327 392 337
378 351 331 398
346 398 354 390
362 382 386 358
403 341 408 336
432 312 434 310
392 367 380 379
393 381 402 372
410 379 408 381
